Model: gpt2
Planes scanned: 864  (layers=0..11, heads=0..11, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null: 432 planes (3 seeds x 144 heads) -- 9 pass (2.1%)
Null amp_slope: mean=0.046 p95=0.108 max=1.224
PASSED planes: 16 / 864 (1.9%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
  9   1 (0,1)   0.08   0.34  0.034  0.997    2.6    no
  8   3 (0,1)   0.07   0.33  0.033  0.993    5.8    no
  9   5 (0,3)   0.16   0.33  0.033  0.975   21.9    no
 11   2 (0,1)   0.09   0.33  0.033  0.998    1.6    no
 11   3 (1,3)   0.13   0.33  0.033  0.992    5.5    no
  7   3 (0,1)   0.15   0.33  0.033  0.982   26.0    no
  9   8 (0,1)   0.14   0.33  0.033  0.986    1.1    no
  7   5 (1,2)   0.10   0.33  0.033  1.000   21.2    no
  3   5 (2,3)   0.07   0.33  0.033  0.993   38.3    no
  5   4 (0,1)   0.07   0.33  0.033  0.993    7.4    no
  1   4 (0,1)   0.05   0.33  0.033  0.976   22.6    no
  7   7 (0,2)   0.19   0.33  0.033  0.945   13.0    no
  0   7 (0,3)   0.08   0.33  0.033  0.996  119.8    no
  8  10 (0,2)   0.10   0.33  0.033  1.000   62.9    no
  7   3 (1,2)   0.15   0.32  0.032  0.976   27.7    no
  5   2 (1,2)   0.09   0.32  0.032  1.000   10.6    no
  7   9 (0,2)   0.05   0.32  0.032  0.983   75.5    no
 10  10 (1,2)   0.11   0.32  0.032  0.999    5.3    no
  1   7 (2,3)   0.09   0.32  0.032  0.999   15.9    no
  9   4 (0,1)   0.09   0.32  0.032  1.000   29.6    no
  9   4 (1,2)   0.04   0.32  0.032  0.975    3.9    no
 11   7 (0,2)   0.06   0.32  0.032  0.988   64.8    no
  9   5 (0,1)   0.12   0.32  0.032  0.993   24.2    no
  8  10 (1,2)   0.06   0.32  0.032  0.990  115.1    no
  6   7 (0,3)   0.07   0.32  0.032  0.996   38.3    no
  4   5 (0,1)   0.09   0.31  0.031  1.000   10.5    no
  9   9 (0,1)   0.07   0.31  0.031  0.993    8.6    no
  9   6 (2,3)   0.09   0.31  0.031  0.999   19.8    no
 10  10 (0,1)   0.13   0.31  0.031  0.991    4.9    no
 10   2 (2,3)   0.10   0.31  0.031  0.999    1.8    no
  5   8 (0,2)   0.06   0.31  0.031  0.992   46.7    no
  9   0 (0,1)   0.12   0.31  0.031  0.995    2.0    no
  9   6 (1,2)   0.11   0.31  0.031  0.998    2.6    no
  9   8 (0,3)   0.12   0.31  0.031  0.995   21.4    no
 11  11 (0,3)   0.19   0.31  0.031  0.935   12.5    no
  7   7 (0,3)   0.06   0.31  0.031  0.991   15.9    no
  8   1 (1,3)   0.10   0.31  0.031  1.000    4.3    no
